feature_name,feature_band,feature_min,feature_max,count,mse,mae,baseline_mse,baseline_mae,mae_delta_vs_baseline,direction_accuracy,baseline_direction_accuracy,direction_accuracy_delta_vs_baseline,pred_up_ratio,true_up_ratio,up_recall,down_recall,pred_mean,true_mean,pred_std,true_std,correlation,baseline_correlation,mean_abs_error_improvement_vs_baseline,direction_head_bce,direction_head_accuracy,direction_head_pred_up_ratio,direction_head_up_recall,direction_head_down_recall,direction_head_prob_mean,direction_head_prob_std
h1_range_31,"(0.037, 0.161]",0.0379999999999824,0.1610000000000013,100,0.04931870847940445,0.1642841100692749,0.04995504766702652,0.16447794437408447,0.0001938343048095703,0.54,0.5,0.040000000000000036,0.42,0.5,0.46,0.62,-0.0032829176634550095,0.009029999375343323,0.03184007853269577,0.2235003262758255,0.1264058777801882,0.0,0.00019380292855202805,0.6942254900932312,0.48,0.92,0.9,0.06,0.5216755270957947,0.014650900848209858
h1_range_31,"(0.161, 0.23]",0.1620000000000061,0.2299999999999897,97,0.04920336976647377,0.169536754488945,0.04795064032077789,0.1599428504705429,-0.0095939040184021,0.41237113402061853,0.6185567010309279,-0.20618556701030932,0.5876288659793815,0.6185567010309279,0.5,0.2702702702702703,0.00948878563940525,0.045494843274354935,0.03646707907319069,0.2156367301940918,-0.004952219698796889,0.0,-0.009593921819144915,0.6844314932823181,0.5773195876288659,0.9175257731958762,0.9,0.05405405405405406,0.5246770977973938,0.015955494716763496
h1_range_31,"(0.23, 0.294]",0.2309999999999945,0.2930000000000063,98,0.04961095377802849,0.17172832787036896,0.04774985462427139,0.1730843335390091,0.0013560056686401367,0.5408163265306123,0.6224489795918368,-0.08163265306122447,0.5306122448979592,0.6224489795918368,0.5573770491803278,0.5135135135135135,0.009111334569752216,0.05252040550112724,0.03691072389483452,0.21380771696567535,-0.04121169742057824,0.0,0.0013559948182569818,0.6832746267318726,0.6224489795918368,0.9183673469387755,0.9344262295081968,0.10810810810810811,0.523882269859314,0.01607584021985531
h1_range_31,"(0.294, 1.225]",0.2939999999999827,1.2249999999999943,99,0.0561705082654953,0.1795555204153061,0.051650743931531906,0.17706254124641418,-0.0024929791688919067,0.5252525252525253,0.494949494949495,0.03030303030303033,0.6464646464646465,0.494949494949495,0.673469387755102,0.38,0.020134417340159416,-0.006919194478541613,0.04121575132012367,0.22681665420532227,-0.12269888073381913,0.0,-0.00249297751320733,0.6922247409820557,0.48484848484848486,0.9494949494949495,0.9387755102040817,0.04,0.5300091505050659,0.01673261821269989
h1_recent_momentum,"(-1.0699999999999998, -0.152]",-1.0689999999999884,-0.1519999999999868,100,0.029163677245378494,0.13286279141902924,0.027229879051446915,0.13086852431297302,-0.0019942671060562134,0.47,0.61,-0.14,0.62,0.61,0.5737704918032787,0.3076923076923077,0.01521232444792986,0.034599997103214264,0.03979229927062988,0.16275711357593536,-0.05516023073776912,0.0,-0.0019942713528871493,0.6771450638771057,0.61,1.0,1.0,0.0,0.5374888181686401,0.013473015278577805
h1_recent_momentum,"(-0.152, 0.0435]",-0.1490000000000009,0.0420000000000015,97,0.0724177286028862,0.20442813634872437,0.07136283814907074,0.20154473185539246,-0.002883404493331909,0.5257731958762887,0.5773195876288659,-0.05154639175257725,0.4329896907216495,0.5773195876288659,0.4642857142857143,0.6097560975609756,-0.0014451020397245884,0.04795875772833824,0.03641200438141823,0.26404088735580444,0.05546074840844402,0.0,-0.0028834034059888043,0.6911091804504395,0.5876288659793815,0.9896907216494846,1.0,0.024390243902439025,0.5246825814247131,0.013097899034619331
h1_recent_momentum,"(0.0435, 0.274]",0.0450000000000159,0.2730000000000245,98,0.0395636260509491,0.15665945410728455,0.039140745997428894,0.1557554006576538,-0.0009040534496307373,0.47959183673469385,0.5714285714285714,-0.09183673469387754,0.5204081632653061,0.5714285714285714,0.5,0.4523809523809524,0.005282257683575153,0.039408162236213684,0.03408096730709076,0.1952332854270935,0.06601543302515261,0.0,-0.0009040455143822682,0.6914111375808716,0.4897959183673469,0.8775510204081632,0.8214285714285714,0.047619047619047616,0.5214861631393433,0.016089966520667076
h1_recent_momentum,"(0.274, 1.183]",0.2749999999999772,1.1829999999999927,99,0.06372957676649094,0.19202442467212677,0.06018839031457901,0.18740390241146088,-0.0046205222606658936,0.5454545454545454,0.47474747474747475,0.07070707070707066,0.6060606060606061,0.47474747474747475,0.6595744680851063,0.4423076923076923,0.01595575362443924,-0.022181816399097443,0.03734719380736351,0.2435435950756073,-0.08612953469563234,0.0,-0.004620542213546505,0.6948805451393127,0.47474747474747475,0.8383838383838383,0.8297872340425532,0.15384615384615385,0.5164026021957397,0.013716782443225384
h1_rsi_14_31,"(12.73, 43.268]",12.731481481479308,43.26059050064119,99,0.046030160039663315,0.16417977213859558,0.04399433359503746,0.15938250720500946,-0.004797264933586121,0.4444444444444444,0.6464646464646465,-0.2020202020202021,0.2727272727272727,0.6464646464646465,0.28125,0.7428571428571429,-0.01367458701133728,0.047969698905944824,0.024928215891122818,0.20578676462173462,0.07207400751466868,0.0,-0.004797276219992773,0.6841540932655334,0.5252525252525253,0.8383838383838383,0.78125,0.05714285714285714,0.5179804563522339,0.01535762008279562
h1_rsi_14_31,"(43.268, 54.758]",43.29028635597958,54.74108944183013,98,0.059610944241285324,0.19467151165008545,0.057340458035469055,0.19599640369415283,0.0013248920440673828,0.5102040816326531,0.5816326530612245,-0.0714285714285714,0.5,0.5816326530612245,0.5087719298245614,0.5121951219512195,0.009295936673879623,0.04632652923464775,0.039081115275621414,0.23627303540706635,-0.04805097847818962,0.0,0.001324873189536893,0.685512125492096,0.5714285714285714,0.9693877551020408,0.9649122807017544,0.024390243902439025,0.5254855751991272,0.016639195382595062
h1_rsi_14_31,"(54.758, 65.262]",54.77528089887732,65.11885019347699,98,0.03814433142542839,0.1430942416191101,0.03573092445731163,0.14004290103912354,-0.0030513405799865723,0.5306122448979592,0.5204081632653061,0.010204081632653073,0.6224489795918368,0.5204081632653061,0.6470588235294118,0.40425531914893614,0.012217470444738865,0.0048673455603420734,0.03718125447630882,0.18900932371616364,-0.06996259991309725,0.0,-0.0030513226377720747,0.6893661022186279,0.5306122448979592,0.9693877551020408,0.9803921568627451,0.0425531914893617,0.5282920002937317,0.015271943993866444
h1_rsi_14_31,"(65.262, 92.239]",65.30963302752295,92.23897264098213,99,0.06050857901573181,0.18307079374790192,0.06023428216576576,0.17922209203243256,-0.0038487017154693604,0.5353535353535354,0.48484848484848486,0.0505050505050505,0.7878787878787878,0.48484848484848486,0.8333333333333334,0.2549019607843137,0.02751322276890278,0.00012120995961595327,0.03580493479967117,0.24531884491443634,0.09705982145527345,0.0,-0.00384873751024104,0.6952952146530151,0.5353535353535354,0.9292929292929293,0.9791666666666666,0.11764705882352941,0.5285083651542664,0.015043466351926327
h1_trend_consistency,"(0.483, 0.516]",0.4838709677419355,0.5161290322580645,141,0.055276867002248764,0.17919692397117615,0.053217992186546326,0.17635491490364075,-0.0028420090675354004,0.46808510638297873,0.574468085106383,-0.1063829787234043,0.2978723404255319,0.574468085106383,0.2962962962962963,0.7,-0.012585067190229893,0.03321276605129242,0.027747180312871933,0.2292412370443344,0.011164131684761814,0.0,-0.0028420078637514373,0.6856292486190796,0.574468085106383,1.0,1.0,0.0,0.5302750468254089,0.012104231864213943
h1_trend_consistency,"(0.516, 0.548]",0.5483870967741935,0.5483870967741935,105,0.035103339701890945,0.14832085371017456,0.03429650142788887,0.15073151886463165,0.0024106651544570923,0.5238095238095238,0.5238095238095238,0.0,0.4857142857142857,0.5238095238095238,0.509090909090909,0.54,0.00648662680760026,0.02134285680949688,0.03751678019762039,0.18466731905937195,0.045242829697660435,0.0,0.002410651911937061,0.68830806016922,0.5238095238095238,0.9428571428571428,0.9454545454545454,0.06,0.5250746011734009,0.01832597330212593
h1_trend_consistency,"(0.548, 0.581]",0.5806451612903226,0.5806451612903226,89,0.04433076083660126,0.16102834045886993,0.04153610020875931,0.15404312312602997,-0.006985217332839966,0.5280898876404494,0.5842696629213483,-0.0561797752808989,0.7415730337078652,0.5842696629213483,0.7307692307692307,0.24324324324324326,0.023584483191370964,0.020157301798462868,0.03393508121371269,0.20340421795845032,-0.12996272367780307,0.0,-0.006985214434229252,0.6913203597068787,0.5393258426966292,0.9101123595505618,0.8846153846153846,0.05405405405405406,0.5233102440834045,0.01544993557035923
h1_trend_consistency,"(0.581, 0.645]",0.6129032258064516,0.6451612903225806,59,0.07969535142183304,0.20859108865261078,0.07861091941595078,0.20425449311733246,-0.00433659553527832,0.5254237288135594,0.5423728813559322,-0.016949152542372836,0.9491525423728814,0.5423728813559322,0.9375,0.037037037037037035,0.04191046953201294,0.017966100946068764,0.029522163793444633,0.28017714619636536,0.015036864573445738,0.0,-0.004336587500647975,0.6920334100723267,0.4915254237288136,0.7457627118644068,0.71875,0.2222222222222222,0.5151927471160889,0.016419505700469017
