timestamp,time,open,high,low,close
2025-12-10 05:00:00+0900,1765310400,156.916,156.954,156.809,156.832
2025-12-10 07:00:00+0900,1765317600,156.832,156.928,156.819,156.849
2025-12-10 09:00:00+0900,1765324800,156.847,156.908,156.746,156.801
2025-12-10 11:00:00+0900,1765332000,156.802,156.937,156.668,156.708
2025-12-10 13:00:00+0900,1765339200,156.709,156.727,156.557,156.588
2025-12-10 15:00:00+0900,1765346400,156.588,156.719,156.578,156.705
2025-12-10 17:00:00+0900,1765353600,156.707,156.763,156.635,156.65
2025-12-10 19:00:00+0900,1765360800,156.65,156.886,156.578,156.817
2025-12-10 21:00:00+0900,1765368000,156.818,156.856,156.686,156.708
2025-12-10 23:00:00+0900,1765375200,156.708,156.757,156.548,156.548
2025-12-11 01:00:00+0900,1765382400,156.547,156.627,156.351,156.477
2025-12-11 03:00:00+0900,1765389600,156.478,156.488,156.245,156.305
2025-12-11 05:00:00+0900,1765396800,156.305,156.676,156.103,156.258
2025-12-11 07:00:00+0900,1765404000,156.259,156.308,155.792,155.931
2025-12-11 09:00:00+0900,1765411200,155.923,156.022,155.631,155.745
2025-12-11 11:00:00+0900,1765418400,155.748,155.882,155.567,155.717
2025-12-11 13:00:00+0900,1765425600,155.717,155.786,155.484,155.696
2025-12-11 15:00:00+0900,1765432800,155.697,156.071,155.613,156.065
2025-12-11 17:00:00+0900,1765440000,156.065,156.163,155.865,156.03
2025-12-11 19:00:00+0900,1765447200,156.031,156.068,155.782,155.865
2025-12-11 21:00:00+0900,1765454400,155.863,155.949,155.755,155.762
2025-12-11 23:00:00+0900,1765461600,155.759,155.817,155.23,155.283
2025-12-12 01:00:00+0900,1765468800,155.283,155.293,154.943,155.168
2025-12-12 03:00:00+0900,1765476000,155.166,155.293,155.069,155.235
2025-12-12 05:00:00+0900,1765483200,155.236,155.601,155.211,155.592
2025-12-12 07:00:00+0900,1765490400,155.592,155.673,155.493,155.544
2025-12-12 09:00:00+0900,1765497600,155.542,155.616,155.439,155.498
2025-12-12 11:00:00+0900,1765504800,155.498,155.768,155.454,155.664
2025-12-12 13:00:00+0900,1765512000,155.664,155.744,155.63,155.711
2025-12-12 15:00:00+0900,1765519200,155.711,155.771,155.671,155.74
2025-12-12 17:00:00+0900,1765526400,155.74,155.826,155.537,155.648
2025-12-12 19:00:00+0900,1765533600,155.648,155.907,155.613,155.885
2025-12-12 21:00:00+0900,1765540800,155.887,155.991,155.845,155.911
2025-12-12 23:00:00+0900,1765548000,155.911,156.128,155.77,156.047
2025-12-13 01:00:00+0900,1765555200,156.046,156.098,155.807,155.881
2025-12-13 03:00:00+0900,1765562400,155.881,155.903,155.673,155.78
2025-12-13 05:00:00+0900,1765569600,155.779,155.935,155.716,155.898
2025-12-13 07:00:00+0900,1765576800,155.898,155.907,155.696,155.722
2025-12-15 09:00:00+0900,1765756800,155.75,155.897,155.75,155.867
2025-12-15 11:00:00+0900,1765764000,155.867,155.977,155.602,155.609
2025-12-15 13:00:00+0900,1765771200,155.621,155.649,155.299,155.419
2025-12-15 15:00:00+0900,1765778400,155.418,155.419,155.027,155.032
2025-12-15 17:00:00+0900,1765785600,155.032,155.295,154.945,155.261
2025-12-15 19:00:00+0900,1765792800,155.262,155.285,154.934,154.963
2025-12-15 21:00:00+0900,1765800000,154.963,155.152,154.85,154.924
2025-12-15 23:00:00+0900,1765807200,154.924,155.158,154.889,155.158
2025-12-16 01:00:00+0900,1765814400,155.157,155.226,154.834,155.153
2025-12-16 03:00:00+0900,1765821600,155.153,155.366,155.145,155.306
2025-12-16 05:00:00+0900,1765828800,155.306,155.397,155.216,155.24
2025-12-16 07:00:00+0900,1765836000,155.24,155.268,155.08,155.11
2025-12-16 09:00:00+0900,1765843200,155.102,155.232,154.973,155.029
2025-12-16 11:00:00+0900,1765850400,155.029,155.122,154.733,154.862
2025-12-16 13:00:00+0900,1765857600,154.863,154.922,154.702,154.887
2025-12-16 15:00:00+0900,1765864800,154.889,154.914,154.681,154.839
