timestamp,time,open,high,low,close,spread
2025-10-24 14:15:00+0900,1761282900,152.841,152.899,152.837,152.895,0.004
2025-10-24 14:30:00+0900,1761283800,152.895,152.91,152.767,152.817,0.004
2025-10-24 14:45:00+0900,1761284700,152.819,152.896,152.814,152.886,0.004
2025-10-24 15:00:00+0900,1761285600,152.887,152.901,152.859,152.901,0.004
2025-10-24 15:15:00+0900,1761286500,152.901,152.912,152.846,152.848,0.004
2025-10-24 15:30:00+0900,1761287400,152.848,152.848,152.772,152.791,0.004
2025-10-24 15:45:00+0900,1761288300,152.791,152.794,152.708,152.77,0.004
2025-10-24 16:00:00+0900,1761289200,152.77,152.879,152.77,152.85,0.004
2025-10-24 16:15:00+0900,1761290100,152.85,152.887,152.85,152.863,0.004
2025-10-24 16:30:00+0900,1761291000,152.863,152.889,152.859,152.886,0.004
2025-10-24 16:45:00+0900,1761291900,152.887,152.911,152.865,152.889,0.004
2025-10-24 17:00:00+0900,1761292800,152.889,153.008,152.889,152.931,0.004
2025-10-24 17:15:00+0900,1761293700,152.931,153.032,152.911,153.023,0.004
2025-10-24 17:30:00+0900,1761294600,153.024,153.037,152.876,152.928,0.004
2025-10-24 17:45:00+0900,1761295500,152.928,152.958,152.89,152.956,0.004
2025-10-24 18:00:00+0900,1761296400,152.955,153.059,152.918,153.058,0.004
2025-10-24 18:15:00+0900,1761297300,153.058,153.063,152.954,152.964,0.004
2025-10-24 18:30:00+0900,1761298200,152.964,152.995,152.926,152.954,0.004
2025-10-24 18:45:00+0900,1761299100,152.954,153.001,152.914,152.914,0.004
2025-10-24 19:00:00+0900,1761300000,152.914,152.951,152.811,152.832,0.004
2025-10-24 19:15:00+0900,1761300900,152.844,152.882,152.76,152.775,0.004
2025-10-24 19:30:00+0900,1761301800,152.763,152.862,152.751,152.849,0.004
2025-10-24 19:45:00+0900,1761302700,152.85,152.888,152.82,152.831,0.004
2025-10-24 20:00:00+0900,1761303600,152.829,152.884,152.808,152.867,0.004
